id,date,notes,topics,link,audio_url,remaining_lessons,created_at,updated_at
899b8842-3bda-40c1-8c7c-23ccec76db04,2025-03-12,"• Believer - на уроке сыграли в темпах 80 и 90 %.
• Фраза перед началом припева - 1 нота должна быть длинной (бэнд), далее быстрые ноты со срывом и стремимся сразу быстро попасть на 14 лад 2 струны. Во время игры этой фразы глушим 4 струну указательным пальцем левой руки - так делаем всегда при игре бэндов
• Psycho - на уроке сыграли в темпах 70 и 90 %, тренировали медленно лиги в куплете - играем их неспеша, но чётко простукивая пальцами в нужное время
• Zombie - повторили
• Johnny B Goode - повторили
• Медиатор держим лучше, чтобы указательный палец был в середине медиатора, а не с краю",,,,1,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
9e6c06ba-5ffb-4345-946f-51716993ee27,2025-05-28,"На уроке повторили Johnny B Goode, Crystalised
Korn - Blind - на уроке выучили вступление и главный риф. Мы понизили только 6 струну в А, но в оригинале все струны понижаются тоже. Сыграли с музыкой. Чередуем медиатор и делаем ритм более острым",,,,1,2025-06-07 20:33:19.51099+00,2025-06-08 19:26:52.237754+00
a62c56fe-9ec3-48cd-b781-e00cf8f8ab87,2025-04-02,"Save Your Tears
• Во 2 части куплета добавляем рэйки - скребки
• Прехорус и первую половину припева подобрали на слух, записали на видео. Повтор припева будет в другой октаве, плюс доделаем штрихи в припеве в следующий раз",,,,1,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
a71470fd-ec46-46ef-bb51-ceb730873ac1,2025-03-26,"Save Your Tears
• Куплет - повторили
• 2 часть куплета - подобрали весь на слух, разобрались с нотами и ступенями, записали на видео. Внимательно с легато, бэндами. Стараемся в голове держать ноты во время игры - всё играем по чистым нотам без диезов - до мажор",,,,3,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
c3d96bc0-d149-4dbe-866b-15b97de371d4,2025-03-26,"Save Your Tears
• Куплет - повторили
• 2 часть куплета - подобрали весь на слух, разобрались с нотами и ступенями, записали на видео. Внимательно с легато, бэндами. Стараемся в голове держать ноты во время игры - всё играем по чистым нотам без диезов - до мажор",,,,4,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
c5cddab1-e06d-4174-84e1-decf2723e7f3,2025-05-22,"На уроке повторили The Last Of Us, Believer, следующие играли с музыкой: Save Your Tears, Supermassive Black Hole, Zombie, Blinding lights, Intro",,,,3,2025-06-07 20:33:19.51099+00,2025-06-08 09:58:27.279856+00
dd2bb832-d0ad-4f51-a286-42d4897da610,2025-05-13,На уроке повторили и закрепили The Last Of Us (записали на видео) и Save Your Tears (играли с музыкой),,,,1,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
de0f3a27-39eb-40d6-8ca6-a5d34371404a,2025-04-09,"Save Your Tears - повторяющуюся фразу припева по нотам перенесли на октаву вверх, подобрали припев до конца, записали на видео. Следить, чтобы глушить струны. Внимательно с попаданием в ноты в бэндах - ориентир - предыдущие ноты. В бэндах держим прижатым первый палец. Сыграли всё с музыкой",,,,2,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
def56856-9ea1-45e6-b216-6123ca8a8310,2025-04-18,"На уроке повторили
• Save Your Tears 70, 80, 90 %
• Believer 70, 85 %
• Supermassive Black Hole 75, 90 %
• The Chain",,,,3,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
e58f2626-7efc-4713-8ab0-a826c40e54c8,2025-05-22,"На уроке повторили The Last Of Us, Believer, следующие играли с музыкой: Save Your Tears, Supermassive Black Hole, Zombie, Blinding lights, Intro",,,,1,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
1,2025-06-11,"Gravity Falls - на уроке повторили мелодию и подобрали на слух и выучили аккомпанемент к основной части, можно играть по одной ноте или квинтами, сыграли с музыкой, играем восьмыми длительностями медиатором всё время вниз, тут всё так же в тональности ре-минор:

D5 D5 F5 F5 Bb5 Bb5 C5 A5 
D5 D5 F5 F5 Bb5 Bb5 C5 A5
D5 F5 Bb5 C5 A5",15936933-0c10-4cf7-87a7-15aac6316588,,,3,8/15/2025 20:58:56,8/15/2025 20:58:56
2,2025-06-18,"Gravity Falls - сделали вступление переборами (Dm F A), на каждом аккорде играем струны 1 2 3 2 1 2 3 2. Так как не все струны участвуют, то и прижимаем аккорды не полностью: Dm полностью, но сразу ставим малое баррэ на 1 ладу, F только баррэ малое и остаётся на месте 2 палец на 2 ладу от предыдущего аккорда, A - оставляем тот же 2 палец на 2 ладу, баррэ убираем, и прижимаем 3 пальцем 2 лад на 2 струне. После играем открытую 1 струну и далее 5 лад на 1 струне. После уже идёт мелодия. ",15936933-0c10-4cf7-87a7-15aac6316588,,,2,8/15/2025 21:00:29,8/15/2025 21:00:29
3,2025-06-25,"- Gravity Falls 
  \- Вступление играем медиатором, положение левой руки на 3 аккорде должно быть не обхватывая гриф, но повернуть руку немного влево, чтобы уместить два пальца на одном ладу. После вступления сразу без остановки переходим на мелодию
  \- Квинты - начинаем со слайда, а в 3 строчке внимательнее со сменой квинт","7a073558-1a93-4f05-a746-f2aebb14e064,230b938d-f414-4042-acc2-fe75e705f74e,15936933-0c10-4cf7-87a7-15aac6316588",,,1,8/15/2025 21:01:25,8/15/2025 21:01:25
4,2025-07-02,"- Johnny B Goode - можно добавить спринг ревер или дилэй с быстрыми повторами 
- Gravity Falls - в палммьютах обе струны должны звучать одинаково по тембру (одинаковый уровень палммьюта)
- Supermassive Black Hole - во время игры открытой 6 струны глушить остальные 5 струн указательным пальцем - во втором рифе","15936933-0c10-4cf7-87a7-15aac6316588,70934e93-c9a6-4894-86af-b8cca3ea5f5b,38fef40c-4bb9-4deb-a6b7-facd9ae087bf",,,0,8/15/2025 21:02:08,8/15/2025 21:02:08
5,2025-07-09,"Рик и Морти - тональность си-бемоль минор, на уроке подобрали на слух мелодию, 1 фраза играется в 1 позиции, затем 2 и 3 фразы играем той же аппликатурой на тех же струнах, но на октаву выше - 13 позиция",ce8dd0da-6d91-463d-9a80-da507579a71c,,,3,8/15/2025 21:02:50,8/15/2025 21:02:50
6,2025-07-16,"- Рик и Морти - повторили мелодию, подобрали на слух 2 партию, записали её на видео, разобрали, какие тут ноты и ступени
- Процессоры Фрактал и процессоры Кемпер считаются самыми топовыми, они самые дорогие и эти фирмы уже давно, они надёжные. 

  Хорошие, но дешевле - Лайн 6 и Босс - у них есть маленькие процессоры размером с аудиокарту почти, тоже отличные процессоры и надёжные - вот их я рекомендую

  А конкретно LINE 6 HX STOMP или BOSS GT-1000 CORE",ce8dd0da-6d91-463d-9a80-da507579a71c,,,2,8/15/2025 21:04:49,8/15/2025 21:04:49
7,2025-08-06,"- Рик и Морти 
  \- в мелодии добавляем вибрато на последних нотах, делаем его достаточно широким по амплитуде. Может быть украсим мелодию: флажолеты, октавер, дилэй?
  \- ритм партию повторили, дополнительные ноты можно задублировать третьей партией, и тогда сделать их длинными
- Save Your Tears - добавляем вибрато, делаем его достаточно широким по амплитуде.
- Blinding lights - немного повторили начало","ce8dd0da-6d91-463d-9a80-da507579a71c,25844340-3022-43ba-b05b-f62c3b9662e8,7a073558-1a93-4f05-a746-f2aebb14e064",,,1,8/15/2025 21:05:25,8/15/2025 21:05:25
8,2025-08-13,"- Blinding lights - во время игры вибрато 3 пальцем нужно 1 пальцем тоже прижимать и глушить
-  Zombie - на бриджевом звукоснимателе (рычажок вниз) проще играть медиаторные флажолеты - так играет гитарист на видео
- The Chain - повторили, в переборах 6 и 4 струну играем большим пальцем правой руки, а 1 струну всегда безымянным","2cae103b-72ae-4855-a6ac-5bc8386c58d7,25844340-3022-43ba-b05b-f62c3b9662e8,27ebf818-22c4-4d11-b504-b3268be9ee3a",,,0,8/15/2025 21:05:57,8/15/2025 21:05:57
9,2025-08-27,"- Удлинитель без заземления поможет от шума, если ноутбук и процессор включены в одну розетку и возникает шум. Или выключить ноут из сети - если это помогает, то и розетка без заземления тоже так же будет убирать этот шум 
- KALEO - Break my baby - повторили на уроке основной риф, тональность ля минор, играем в 3 и в 5 позициях по пентатонике (на 6 струне 5 и 3 лады, позже 1 лад и открытая, на 5 струне 3, 5 и 7 лады), медиатор чередуем, ритм - триольная пульсация",0982d8d5-e2e7-4b25-91a0-1c0b286d4b6d,,,3,8/28/2025 21:11:27,8/28/2025 21:11:27
10,2025-09-03,"- Break my baby - повторили и сыграли вместе с замедленной музыкой. Добавили вступление к рифу  (глухая нота и затем слайд на 12 лад на 6 струне)
- No good - повторили, тональность ми минор, всё играется по ми минорной пентатонике в открытой позиции (то есть с использованием открытых струн), каждая фраза начинается с баса","0982d8d5-e2e7-4b25-91a0-1c0b286d4b6d,68803053-1658-4719-903b-374b0eccbf9e",,,2,9/3/2025 10:20:00,9/3/2025 10:20:00
11,2025-09-10,"- На уроке повторили обе песни Kaleo и обе песни The Weekend (Blining Lights сыграли с музыкой)
- Во время игры бэндов следить, чтобы не поднимать плечо. Но при этом дотягивать бэнды до нужной ноты
- Легато (хамероны и пулофы) не передавливать и не отттягивать струны пальцами левой руки","25844340-3022-43ba-b05b-f62c3b9662e8,7a073558-1a93-4f05-a746-f2aebb14e064,0982d8d5-e2e7-4b25-91a0-1c0b286d4b6d,68803053-1658-4719-903b-374b0eccbf9e",,,1,9/10/2025 11:17:22,9/10/2025 11:17:22
12,2025-09-15,"- На уроке повторили 4 песни, которые сыграли в прошлый раз (2 Kaleo и 2 The Weekend)
- На уроке повторили Beliver
- Стигмата - Сентябрь - вспомнили по табам на сонгстере половину рифа тэпингом","9347c754-330e-45b2-b663-c49bd8c3f40f,2a21cedf-efa0-4a9b-a258-c6dcdb312167",,,0,9/17/2025 10:01:15,9/25/2025 9:20:00
13,2025-09-25,"Стигмата - Сентябрь
- можно играть с питчшифтером (минус 3 полутона), можно наоборот повышать музыку (плюс 3 полутона)
- вступление тепингом сыграли и медленно и быстро, и с музыкой, всё время подпираем 3 струну указательным пальцем
- вступление квинтами сыграли, не забываем про 2 удара вверх на слабую долю (остальные удары вниз). 4 раза повторяется, но 3 раз начинается с палммьютов, потом пауза и слайд
- куплет - повторили, первый аккорд - это D но без 1 струны. Играем по табам на видео, на сонгстере третий аккорд отличается.",9347c754-330e-45b2-b663-c49bd8c3f40f,,,3,9/25/2025 10:02:16,9/25/2025 10:02:16
14,2025-10-01,"Стигмата - Сентябрь
- повторили партии, которые уже повторили ранее, куплет записали на видео
- повторили ступени натурального минора на примере рифа квинтами из этой песни - полутон только между 2 и 3, и между 5 и 6 ступенями, тоника тут - открытая 6 струна
- подобрали на слух и записали на видео соло партии из куплета",9347c754-330e-45b2-b663-c49bd8c3f40f,,,2,10/1/2025 10:12:22,10/1/2025 10:12:22
15,2025-10-08,"Стигмата - Сентябрь
- повторили все партии и сыграли с музыкой
- вспомнили бридж, он теперь хорошо получается. Правая рука должна играть вниз-вверх-вниз, левая рука: указательный должен всё время глушить 5 струн и не должен прикасаться к 6 струне, средний и безымянный должны делать паузы - глушить 6 струну, их поднимать выше, когда 6 струна играет. Сделали все концовки в бридже, кроме последних двух (восьмые ноты). Сыграли с музыкой
- в следующий раз доразберём концовки бриджа и поиграем тремоло",9347c754-330e-45b2-b663-c49bd8c3f40f,,,1,10/8/2025 9:55:22,10/8/2025 9:55:22
16,2025-10-15,"Стигмата - Сентябрь
- соло партию не повторили, сыграем в следующий раз
- сыграли полностью ритм партию с музыкой
- разобрали как играть тремоло - ноты и ритм, играем со счётом медленно, записали на видео",9347c754-330e-45b2-b663-c49bd8c3f40f,,,0,10/15/2025 11:14:32,10/15/2025 11:14:32
17,2025-10-21,"Стигмата - Сентябрь
- тремоло: предплечье должно быть расслаблено и двигаться вверх/вниз, можно немного перекатывать как бы предплечье, запястье расслаблено, чтобы кисть тоже пружинила, играем самым кончиком медиатора, тренируем двумя способами:
1) играем без метронома просто на одной струне, то медленно, то максимально быстро, то опять медленно и т.д.
2) играем с метрономом нужные ноты в нужных количествах по 3 ноты на 1 удар метронома в темпах 120 и 140, далее будем ускорять, потом понизим в 2 раза скорость метронома, то есть будем играть по 6 нот на 1 удар метронома
- на уроке повторили с музыкой всю соло партию (тремоло играли по 2 и по 3 ноты на удар, то есть медленнее оригинала, облегчённая версия) и всю ритм партию ",9347c754-330e-45b2-b663-c49bd8c3f40f,,,3,10/22/2025 11:21:22,10/22/2025 11:23:45
18,2025-10-29,"- Стигмата - Сентябрь
  - повторили и сыграли с музыкой ритм-партию - бридж тренировать отдельно медленно
  - повторили и сыграли с музыкой соло-партию 
потренировать переходы между частями,
если не можем пока звуки переключать ногой, то всё играть на перегрузе, 
когда играем полностью с музыкой, то тремоло играем упрощённое (по 2 ноты на долю)
  - тремоло сыграли с метрономом в темпах 120, 140 и 160 по 3 ноты на удар
- Johnny B Goode - повторили на уроке
- Save Your Tears - повторили и сыграли с немного замедленной музыкой ","9347c754-330e-45b2-b663-c49bd8c3f40f,38fef40c-4bb9-4deb-a6b7-facd9ae087bf,7a073558-1a93-4f05-a746-f2aebb14e064",,,2,10/29/2025 9:42:22,10/29/2025 9:43:54
19,2025-11-07,"- Стигмата - несколько раз повторили тремоло в темпе 120, задача чётко укладывать триоли с метрномом, чтобы каждая первая нота из трёх чётко совпадала с метрономом (то удар медиатором вниз, то вверх, потому что по 3 ноты). Когда играем без метронома тоже небольшие акценты делаем на первую ноту триоли, пока темп медленный
- На уроке повторили Johny B Good, Save Your Tears, Believer, Supermassive Black Hole 
- Во время игры бэндов плечо не поднимать


","9347c754-330e-45b2-b663-c49bd8c3f40f,2a21cedf-efa0-4a9b-a258-c6dcdb312167,38fef40c-4bb9-4deb-a6b7-facd9ae087bf,7a073558-1a93-4f05-a746-f2aebb14e064,70934e93-c9a6-4894-86af-b8cca3ea5f5b",,,1,11/7/2025 9:29:17,11/7/2025 9:29:48
20,2025-11-13,"- Nothing Ellse  Matters - вспомнили до 7 такта включительно
  - в первых 4 тактах бас играем с опорой, то есть большой палец должен прикоснуться к 5 струне и прикасаться к ней всё время
  - в 7 такте в конце, когда играем слайд и срыв (лады 3 2 0), не менять положение левой руки, она должна просто сместиться влево и всё
- Тремоло (соло Сентябрь) играли с метрономом в темпах 100 120 130 140
- Psycho повторили на уроке, чётче проговаривать лиги 
- Медиатор держим крепче","9347c754-330e-45b2-b663-c49bd8c3f40f,c6de9c5b-2341-4c15-919f-8c2dbb75ce10,1be5e850-3da4-4951-905b-1342b8b72c0e",,,0,11/13/2025 14:13:54,11/13/2025 14:13:54
21,2025-11-19,"- Nothing Ellse Matters - доучили всю первую часть, первую её половину сыграли с метрономом в оригинальном темпе. Следим за ритмом, не путать перебор при добавлении мелодий
- Основные предыдущие песни повторять",1be5e850-3da4-4951-905b-1342b8b72c0e,,,3,11/19/2025 9:35:42,11/19/2025 9:35:42
22,2025-11-30,"Nothing Else Matters 
- повторили первую часть, играли с метрономом в оригинальном темпе (стучит четвертями с точкой) и в темпе 100 (стучит восьмыми, то есть на 1 удар играем 1 ноту во вступлении)
- вспомнили вторую часть, 2 и 3 аккорды играем с баррэ 4 пальцем, пальцы на аккорды ставим по очереди, а если аккорд начинается с открытой струны, то играем её и после уэе ставим пальцы на аккорд 

На уроке повторили Blinding Lights, сыграли с минусовкой, слайды стараемся точнее в конкретный лад приводить","1be5e850-3da4-4951-905b-1342b8b72c0e,25844340-3022-43ba-b05b-f62c3b9662e8",,,2,11/30/2025 12:13:20,11/30/2025 12:13:20
23,2025-12-04,"Nothing Else Matters 
- повторили первые две части
- выучили / вспомнили третью часть, повторяем, внимательно с пальцами, особенно у левой руки - чтобы вовремя ставить и вовремя их убирать
- во время игры не передавливать пальцами левой руки, всё прижимать легче",1be5e850-3da4-4951-905b-1342b8b72c0e,,,1,12/4/2025 12:07:58,12/4/2025 12:07:58
24,2025-12-10,"- Nothing Else Matters - выучили припев, соединили его с предыдущей частью, сыграли всё выученное полностью

- Master of Puppets - молодец, хорошо разобрал вступление и первый риф. 
За чем следим:
- выяснили где начало а где конец рифа, и уже его нужно 4 раза повторить
- указательный палец левой руки должен лучше глушить струны от шумов
- медиатор должен играть движением внутрь гитары
- играем помедленнее пока что, но следим за качеством звучания",1be5e850-3da4-4951-905b-1342b8b72c0e,,,0,12/10/2025 10:22:24,12/10/2025 10:23:18
25,2025-12-17,"Nothing Else Matters 
- на уроке повторили все части, первые две сыграли с музыкой
- во 2 части - слушать 2 струну
- СОЛО - молодец, хорошо разобрал! 
что добавить: классическое вибрато на первой струне, внимательно с переборами в 64 - 65 тактах, перебор по открытым струнам - большой палец с опорой
- аккорд D - 3 струну не передавливать
- кода - с 86 такта - доучить её, там всё, что уже было, повторяется 4 раза

- СОЛО на электрогитаре - разобрали по табам первую фразу, повторяем, обращаем внимание на все нюансы, которые отметили на уроке (бэнды, вибрато, глухая нота, аппликатуры и т.д.)

Master Of Puppets - повторили первый риф, задание прежнее ",1be5e850-3da4-4951-905b-1342b8b72c0e,,,3,12/17/2025 10:24:38,12/17/2025 14:05:03
